term,score,polarity,freq_misogynistic,freq_non_misogynistic,total_freq
cristã,0.0011,neutral,18,50,68
manipul,0.0011,neutral,16,30,46
sermulheré,0.0011,neutral,15,11,26
turm,0.0011,neutral,18,50,68
ideolog,0.0011,neutral,18,54,72
sujeit,0.0011,neutral,16,19,35
quadrilh,0.0011,neutral,17,30,47
pergunt,0.0011,neutral,33,259,292
horr,0.0011,neutral,23,117,140
bachelet,0.0011,neutral,14,2,16
milhã,0.0011,neutral,22,100,122
viol,0.0011,neutral,21,93,114
evangél,0.0011,neutral,15,12,27
desgr,0.0011,neutral,19,62,81
escol,0.0011,neutral,22,101,123
jamal,0.0011,neutral,20,84,104
junt,0.0011,neutral,41,363,404
acredit,0.0011,neutral,35,281,316
lembr,0.0011,neutral,33,261,294
concord,0.0011,neutral,26,167,193
asquer,0.001,neutral,13,12,25
petist,0.001,neutral,18,68,86
chei,0.001,neutral,22,118,140
terr,0.001,neutral,22,132,154
beste,0.001,neutral,14,15,29
ador,0.001,neutral,21,110,131
engan,0.001,neutral,16,45,61
frent,0.001,neutral,22,128,150
democrac,0.001,neutral,16,49,65
feit,0.001,neutral,27,188,215
apen,0.001,neutral,26,182,208
atitud,0.001,neutral,16,53,69
homofob,0.001,neutral,15,22,37
argentin,0.001,neutral,15,31,46
jesu,0.001,neutral,20,98,118
incompet,0.001,neutral,13,4,17
honest,0.001,neutral,19,86,105
desgovern,0.001,neutral,13,7,20
ilud,0.001,neutral,14,20,34
trat,0.001,neutral,22,128,150
golp,0.001,neutral,16,52,68
capit,0.001,neutral,18,72,90
revolt,0.001,neutral,15,33,48
abus,0.001,neutral,16,49,65
import,0.001,neutral,31,250,281
ditad,0.001,neutral,18,62,80
magr,0.001,neutral,18,65,83
própr,0.0009,neutral,19,102,121
pátr,0.0009,neutral,14,27,41
abort,0.0009,neutral,15,47,62
cidad,0.0009,neutral,23,155,178
morr,0.0009,neutral,38,363,401
capet,0.0009,neutral,13,20,33
guerr,0.0009,neutral,21,122,143
sociedad,0.0009,neutral,16,62,78
nunc,0.0009,neutral,22,136,158
naçã,0.0009,neutral,14,41,55
acord,0.0009,neutral,34,307,341
best,0.0009,neutral,14,37,51
reclam,0.0009,neutral,24,163,187
entend,0.0009,neutral,41,404,445
luladr,0.0009,neutral,11,3,14
serv,0.0009,neutral,16,60,76
caduc,0.0009,neutral,11,2,13
felici,0.0009,neutral,12,9,21
aparec,0.0009,neutral,20,108,128
ameaç,0.0009,neutral,14,41,55
escrev,0.0009,neutral,17,72,89
sent,0.0009,neutral,49,508,557
segu,0.0009,neutral,24,178,202
devolv,0.0009,neutral,13,23,36
text,0.0009,neutral,16,63,79
sair,0.0009,neutral,37,349,386
outr,0.0009,neutral,36,329,365
corret,0.0009,neutral,17,67,84
burc,0.0009,neutral,13,27,40
pessoal,0.0009,neutral,24,168,192
cert,0.0009,neutral,65,722,787
baix,0.0009,neutral,23,154,177
cabeç,0.0009,neutral,29,239,268
traír,0.0009,neutral,11,2,13
caus,0.0009,neutral,31,274,305
petralh,0.0008,neutral,10,6,16
rest,0.0008,neutral,19,125,144
post,0.0008,neutral,42,428,470
procur,0.0008,neutral,18,107,125
ajud,0.0008,neutral,25,212,237
personal,0.0008,neutral,13,34,47
defês,0.0008,neutral,12,24,36
hein,0.0008,neutral,20,136,156
dirig,0.0008,neutral,12,29,41
fech,0.0008,neutral,19,127,146
mandat,0.0008,neutral,10,8,18
héter,0.0008,neutral,13,49,62
