term,classe_lexical_sugerida,nome_classe,transversal,dependencia_contextual,exemplo_uso,anotador1_classe,anotador1_dependencia,anotador2_classe,anotador2_dependencia,anotador3_classe,anotador3_dependencia,comentarios
canalha,1,Descrédito,,médio,BACHELETA DA TRETA E MUTRETA CHILENA..CANALHA SAPATONA.. BICHELETA..,,,,,,,
comunista,1,Descrédito,T2,médio,Comunista safada...,,,,,,,
ladrão,,,,médio,"Corrupta, formiga e ladrão tem em todo lugar, até na ONU.",,,,,,,
feminista,1,Descrédito,,médio,PAI DA FEMINISTA SAIU PRA COMPRAR CIGARRO NO 2º GOL DO ZIDANE EM 1.998 E NUNCA MAIS VOLTOU #JoaquinResponde https://t.co/EzreOGNSJa,,,,,,,
bandido,4,Ameaças de Violência,,médio,Porque é bandido da organização criminosa do luladrao. Não aceita nosso presidente Bolsonaro. E melhor aceita que dói menos😂,,,,,,,
safar,4,Ameaças de Violência,,baixo,"[label=0] migué, pra malandro se safar.",,,,,,,
congresso,1,Descrédito,T2,médio,"O Brasil está se tornando uma ditadura dos corruptos ! Estamos assistindo o congresso desrespeitar o executivo, o STF fazendo barbaridades pra soltar bandidos!! De quem é a culpa ? A culpa é de todos…",,,,,,,
pastor,,,,médio,Esse pastor é um RATO!,,,,,,,
esquerdista,1,Descrédito,T2,médio,"Esquerdista agora fala em democracia porque levou uma surra no voto, assim como vagabundo jura por Deus depois de um tapa na lateral.🤣",,,,,,,
absurdo,1,Descrédito,,médio,"Que absurdo, STF não tem o que fazer ao não ser defender bandidos 😒",,,,,,,
partido,1,Descrédito,T2,médio,"O Lula deu um pé na bunda de um.monte de mulheres no governo dele pra acomodar vários homens velhos, indicou 2 ministros homens para o STF e ela falando em igualdade kkk isso que os eleitores do PT nã…",,,,,,,
terrorista,1,Descrédito,T2,médio,Terrorista FDP,,,,,,,
sapatão,3,Assédio Sexual,,médio,é tanta caloura sapatão que vai ter apresentações de voz e violão na cantina durante os intervalos,,,,,,,
bando,4,Ameaças de Violência,,médio,"Pior do que ele falando esse monte de asneira, é um bando de asno no meio da chuva, na estrada e com um frio da porra pra ouvir essas idiotices e bater palma! 😒😒😒",,,,,,,
imbecil,1,Descrédito,,médio,essa imbecil falando e o cachorro cagando e a mesma coisa,,,,,,,
defender,1,Descrédito,T2,alto,Absurdooooo!!! Não sei onde vamos parar!! Tem que ter uma solução pra essa pouca vergonha chamada CONGRESSO NACIONAL que deveria defender os interesses do povo mas não fazem outra coisa a não ser defe…,,,,,,,
mentiroso,1,Descrédito,,médio,"Ridículo e mentiroso. Nojento, abjeto. 🤮🤮🤮🤮🤮 #impeachmentdobolsonaro",,,,,,,
corrupto,1,Descrédito,,médio,Infelizmente quem vai contra o sistema corrupto criado por Lula e PT saem perdendo sempre.,,,,,,,
covarde,1,Descrédito,,médio,"Tenho engulhos desse covarde,canalha que escreveu isso sobre essa Ministra tão querida e Amanda!ele devia ser entregue a nós mulheres, nós íamos fazer uma massagem daquelas nele😂💪",,,,,,,
vagabunda,3,Assédio Sexual,,médio,Vagabunda. Comunista. Mentirosa. O povo chileno nao merece uma desgraça desta.,,,,,,,
news,,,,médio,NAO TEM CADEIA NEN PRA VAGABUNDOS VAI TER PRA QUEM FAS FAKE NEWS ESSES CARAS ESTA DOIDOS.,,,,,,,
ditadura,1,Descrédito,T2,alto,"O Brasil está se tornando uma ditadura dos corruptos ! Estamos assistindo o congresso desrespeitar o executivo, o STF fazendo barbaridades pra soltar bandidos!! De quem é a culpa ? A culpa é de todos…",,,,,,,
demônio,,,,baixo,Esse demônio só fala merda!,,,,,,,
argentina,,,,médio,"Isso é caso de polícia, de FBI ,de CIA para esta vigarista ladra igual a DILMA e a CRISTINA KIRCHNER da ARGENTINA.CRIME ORGANIZADO.",,,,,,,
podre,1,Descrédito,,médio,Simples... São canalhas que amam o dinheiro do povo. 👊🏾 🇧🇷 Acabou pra eles aí ficam nesta choradeira de 🚮. Esgoto... Lama podre. Isso eh o comunismo. Povo na merda é eles de boa. Canalhas! 👊🏾,,,,,,,
eleição,1,Descrédito,T2,alto,"Ainda tem “especialista” da @globonews dizendo que @manueladavila pode torcer pela eleição de Cristina kirchner e Alberto Fernández, o Bolsonada pode ameaçar os eleitores livres da Argentina. Vergonha…",,,,,,,
satanás,,,,baixo,"Vejam que as décadas de empenho da Rede Globo de Televisão, em destruir as famílias tradicionais brasileiras. Tem afetado também os próprios promotores desta destruição, que lutam. Por um Brasil 100%…",,,,,,,
corrupção,1,Descrédito,T2,alto,"Cada coisa que aparece!!! Internacionarizaram a propina e a corrupção!!! Agora tem pena do Brasil, tem que ter pena dela mesmo, afinal ficou sem os recursos ilícitos!!!",,,,,,,
limite,,,,alto,"OQ VCS DEPUTADOS E SENADORES ESTÃO ESPERANDO P ACABAR C ESTS PALHAÇADA,ELES JAH PASSARAM DO LIMITE DA ORDEM,VÃO SOLTAR O BANDIDO E VAI HAVER MANIFESTOS GRAVES DA SOCIEDADE EM PROTESTO AOS MANDOS E DES…",,,,,,,
esquerda,1,Descrédito,T2,médio,Plano da esquerda foi é e será sempre críticar não nunca teve um plano de governo único plano era como roubar .,,,,,,,
diabo,,,,médio,Oh diabo doido!,,,,,,,
cadeia,,,,médio,Quem quer saber oq vc pensa comunista corrupta vc deveria estar na cadeia !,,,,,,,
lei,,,,alto,"Se essa lei for seria, a #globolixo que se cuide ...",,,,,,,
comunismo,1,Descrédito,,médio,Simples... São canalhas que amam o dinheiro do povo. 👊🏾 🇧🇷 Acabou pra eles aí ficam nesta choradeira de 🚮. Esgoto... Lama podre. Isso eh o comunismo. Povo na merda é eles de boa. Canalhas! 👊🏾,,,,,,,
trabalhador,1,Descrédito,T2,médio,PODE BOTAR TUDO SUE BC TIRA DO TRABALHADOR NO CU DA SUA MAE SEU FULEIRO ASSASSINO DE MARIELLE,,,,,,,
criatura,2,Estereotipização,,médio,"Esse elemento não fala uma frase sem insultar, desprezar e desmerecer algo ou alguma coisa. Que tipo de mulher criou essa criatura.",,,,,,,
população,1,Descrédito,T2,alto,Que bom que ela tem pena do Brasil 🇧🇷 assim ela já pode dividir com a população brasileira a propina que recebeu da OAS.,,,,,,,
nojo,,,,médio,Nojo dessa pilantra,,,,,,,
emirado,,,,alto,Cadê a caridade muçulmana? Emirados Árabes não recebem refugiados?,,,,,,,
atacar,4,Ameaças de Violência,,médio,É isso família Bolsonaro. Aposto que foi farinha do msm saco do macron que ateou fogo na Amazônia pra atacar o governo. Vamos nos preparar pois bendita será a nação que teme ao Senhor. Macron que va s…,,,,,,,
eleger,,,,alto,Quem manda eleger esses merdas!!,,,,,,,
urgente,1,Descrédito,T2,alto,Estão loucos....Revisão do Código Penal URGENTE,,,,,,,
eua,,,,alto,"O gigante adormecido criminosamente pelos petistas, e facistas comunistas, está acordando para tornar o Brasil a quarta potencia mundial. EUA, CHINA, RUSSIA E BRASIL. O PROTETOR DA AMERICA LATINA CONT…",,,,,,,
pilantra,3,Assédio Sexual,,médio,Essa mulher é doente.pilantra!,,,,,,,
machista,1,Descrédito,,médio,"De o nome desse imbecil, machista ,nojento, babaca 🤮🤮🤮, Sra MINISTRA, para q todas nós mulheres possa encher a caixa de mensagem dele de "" boas postagem"""" esse jornalista idiota merece conhecer a forç…",,,,,,,
venezuela,1,Descrédito,T2,médio,"Porque Bachelet faz parte da esquerda Hipócrita da América latina. Pergunte se ela tem pena de Cuba, Nicarágua ou da Venezuela. #MicheleBacheletHipócrita",,,,,,,
processar,,,,médio,Que absurdo estamos vivendo no Brasil! Eu pergunto: não dá para processar esses idiotas por ofensa a moral de uma Ministra? Esperimenta xingar um funcionário público de qualquer porcaria de repartição…,,,,,,,
rabo,7,Objetificação Sexual,,alto,Tudo igual. Só pensam no próprio rabo,,,,,,,
sujo,,,,médio,Ela que legue a pena dela e faça um travesseiro pra ver se consegue dormir depois de ter aceitado dinheiro sujo.,,,,,,,
nojentar,,,,médio,,,,,,,,
lula,,,,alto,E nós sentimos ranço dela! Ela pode guardar a pena dela pra ela na mesma conta que o Lula mandou o dinheiro.,,,,,,,
quadrilha,,,,médio,"Maldita, quadrilha do PT é grande viu💩💩💩",,,,,,,
dúvida,,,,alto,"Alguém ainda dúvida q vivemos uma ditadura do Congresso, Senado e Supremo? Desse jeito vai cobtinyar ""tudo como Dantes no quartel de Abrantes!"" E o Exército se fingindo de morto!😐",,,,,,,
luladr,,,,baixo,CLARO QUE TEM PENA PORQUE ELA JUNTO COM O LULADRÃO SUGARAM O POVO DEVERIA TER VERGONHA NA CARA E DEVOLVER O DINHEIRO QUE LEVOU,,,,,,,
lamentável,1,Descrédito,,médio,Que vergonha!! STF trabalham em função da corrupção e bandidagem lamentável! 👎🏼👎🏼👎🏼,,,,,,,
derrubar,4,Ameaças de Violência,,alto,Essa gentalha tirando uma de vítima. Vão derrubar Já já. Coitados. Deus é Deus!,,,,,,,
marco,,,,alto,Marco Enrustiano.,,,,,,,
militante,1,Descrédito,T2,alto,Cuidado ao defender uma militante de esquerda. Ela se apegou a uma causa que nao tem soluçao. Há muito por tras da farça que ela se expõe.,,,,,,,
