term,polarity,score_norm,O_score,pmi_mis,pmi_non,cooc_mis,cooc_non,freq_mis,freq_non,freq_total,origem
canalha,misogino,4.066122814949239,4.066122814949239,1.261725718096154,-2.804397096853085,69,1,105,70,183,semente+pmi
comunista,misogino,3.9908993937116515,3.9908993937116515,1.5757068840949509,-2.4151925096167006,64,1,72,49,124,semente+pmi
ladrão,misogino,3.723836608462606,3.723836608462606,1.8248605712467727,-1.8989760372158333,49,1,43,30,74,semente+pmi
feminista,misogino,3.4155352488080895,3.4155352488080895,0.5736002326359398,-2.8419350161721497,36,1,90,90,190,pmi_expandido
bandido,misogino,3.305534353593761,3.305534353593761,1.555654225543562,-1.7498801280501992,129,4,138,90,255,semente+pmi
safar,misogino,3.297752213151706,3.297752213151706,1.6597900013054923,-1.637962211846214,32,1,41,12,57,semente+pmi
congresso,misogino,3.297752213151706,3.297752213151706,1.1919817626231923,-2.1057704505285137,32,1,57,33,91,semente+pmi
pastor,misogino,3.2660035148371254,3.2660035148371254,1.3944264518094065,-1.871577063027719,31,1,52,19,72,semente+pmi
esquerdista,misogino,3.1993121403384537,3.1993121403384537,0.8508110052204252,-2.3485011351180285,29,1,62,52,116,semente+pmi
absurdo,misogino,3.05089213522018,3.05089213522018,0.4520348852630574,-2.5988572499571228,25,1,63,84,149,pmi_expandido
partido,misogino,3.0100701406999253,3.0100701406999253,0.9725079401979448,-2.0375622005019802,24,1,35,45,85,pmi_expandido
terrorista,misogino,3.0100701406999253,3.0100701406999253,1.3042853325149502,-1.705784808184975,24,1,32,24,61,semente+pmi
sapatão,misogino,2.8765387480754026,2.8765387480754026,-0.07495847060827354,-2.9514972186836763,21,1,132,71,212,semente+pmi
bando,misogino,2.8765387480754026,2.8765387480754026,0.9911683629153478,-1.8853703851600547,21,1,38,35,73,semente+pmi
imbecil,misogino,2.8277485839059704,2.8277485839059704,0.9153495263579964,-1.9123990575479741,20,1,44,31,75,semente+pmi
defender,misogino,2.8277485839059704,2.8277485839059704,0.9021042996079756,-1.925644284297995,60,3,74,137,228,pmi_expandido
mentiroso,misogino,2.8277485839059704,2.8277485839059704,1.301012007169981,-1.5267365767359893,20,1,25,26,51,pmi_expandido
corrupto,misogino,2.793847032230289,2.793847032230289,1.5268637524210704,-1.2669832798092189,58,3,61,52,118,semente+pmi
covarde,misogino,2.7764552895184202,2.7764552895184202,1.192560298942482,-1.583894990575938,19,1,26,26,54,pmi_expandido
vagabunda,misogino,2.7223880682481445,2.7223880682481445,0.7086365164398825,-2.013751551808262,18,1,49,33,83,semente+pmi
news,misogino,2.6652296544081953,2.6652296544081953,1.2861290764782707,-1.3791005779299248,17,1,19,25,44,pmi_expandido
ditadura,misogino,2.6046050325917607,2.6046050325917607,0.8825597035350056,-1.7220453290567552,16,1,21,39,62,pmi_expandido
demônio,misogino,2.5400665114541896,2.5400665114541896,1.1165141709534308,-1.4235523405007586,15,1,37,8,46,semente+pmi
argentina,misogino,2.5400665114541896,2.5400665114541896,1.3075694077161404,-1.2324971037380494,15,1,16,19,38,pmi_expandido
podre,misogino,2.5400665114541896,2.5400665114541896,1.4486480059760456,-1.091418505478144,30,2,41,22,66,semente+pmi
eleição,misogino,2.540066511454189,2.540066511454189,0.40186078517252194,-2.1382057262816674,15,1,28,63,94,pmi_expandido
satanás,misogino,2.471073639967238,2.471073639967238,1.6572868710873736,-0.8137867688798643,14,1,15,5,25,semente+pmi
corrupção,misogino,2.471073639967238,2.471073639967238,0.833111428121024,-1.637962211846214,14,1,20,34,57,pmi_expandido
limite,misogino,2.471073639967238,2.471073639967238,0.833111428121024,-1.637962211846214,14,1,20,37,57,pmi_expandido
esquerda,misogino,2.4469760883881775,2.4469760883881775,0.693182061016842,-1.7537940273713355,82,6,170,187,384,pmi_expandido
diabo,misogino,2.3969656678135163,2.3969656678135163,0.8130706772375782,-1.583894990575938,13,1,28,24,54,semente+pmi
cadeia,misogino,2.3775475819564145,2.3775475819564145,1.364909954331385,-1.0126376276250295,51,4,89,31,122,semente+pmi
lei,misogino,2.3169229601399803,2.3169229601399803,0.9153495263579966,-1.4015734337819836,36,3,34,94,135,pmi_expandido
comunismo,misogino,2.31692296013998,2.31692296013998,1.2562761133285894,-1.0606468468113903,12,1,15,16,32,pmi_expandido
trabalhador,misogino,2.31692296013998,2.31692296013998,0.6789607482937658,-1.637962211846214,12,1,27,27,57,pmi_expandido
criatura,misogino,2.31692296013998,2.31692296013998,1.4639154781068342,-0.8530074820331458,12,1,18,7,26,semente+pmi
população,misogino,2.31692296013998,2.31692296013998,0.8508110052204252,-1.4661119549195547,12,1,17,30,48,pmi_expandido
nojo,misogino,2.31692296013998,2.31692296013998,1.0248337591996848,-1.2920892009402953,36,3,68,48,121,semente+pmi
emirado,misogino,2.237105366340316,2.237105366340316,2.237105366340316,0.0,7,0,2,5,7,pmi_expandido
atacar,misogino,2.2299115831503507,2.2299115831503507,1.1486454491362241,-1.0812661340141263,33,3,38,51,98,pmi_expandido
eleger,misogino,2.22991158315035,2.22991158315035,0.44534589711226075,-1.7845656860380894,11,1,24,42,66,pmi_expandido
urgente,misogino,2.22991158315035,2.22991158315035,0.7848530374286279,-1.4450585457217222,11,1,13,32,47,pmi_expandido
eua,misogino,2.22991158315035,2.22991158315035,0.49186591274715374,-1.7380456704031964,11,1,17,46,63,pmi_expandido
pilantra,misogino,2.22991158315035,2.22991158315035,1.5439581857803706,-0.6859533973699795,22,2,23,19,44,semente+pmi
machista,misogino,2.22991158315035,2.22991158315035,0.5406560769165857,-1.6892555062337644,11,1,23,34,60,pmi_expandido
venezuela,misogino,2.2299115831503498,2.2299115831503498,0.8973310208553179,-1.332580562295032,11,1,18,24,42,pmi_expandido
processar,misogino,2.2299115831503498,2.2299115831503498,1.1086401145225249,-1.121271468627825,11,1,16,16,34,pmi_expandido
rabo,misogino,2.2299115831503498,2.2299115831503498,0.7229776337105402,-1.5069339494398097,11,1,15,33,50,pmi_expandido
sujo,misogino,2.2299115831503498,2.2299115831503498,1.1234552003076657,-1.1064563828426843,22,2,32,34,67,pmi_expandido
nojentar,misogino,2.2299115831503498,2.2299115831503498,1.2010134346535402,-1.0288981484968098,11,1,18,13,31,semente+pmi
lula,misogino,2.1714153764687416,2.1714153764687416,0.761543139872063,-1.4098722365966785,83,8,127,203,363,pmi_expandido
quadrilha,misogino,2.1346014033460254,2.1346014033460254,0.9021042996079759,-1.2324971037380494,10,1,19,19,38,semente+pmi
dúvida,misogino,2.1346014033460254,2.1346014033460254,0.350035717307936,-1.7845656860380894,10,1,13,52,66,pmi_expandido
luladr,misogino,2.1346014033460254,2.1346014033460254,1.900633129719103,-0.2339682736269222,10,1,12,2,14,semente+pmi
lamentável,misogino,2.134601403346025,2.134601403346025,0.778490343640799,-1.356111059705226,10,1,17,25,43,pmi_expandido
