term,polarity,score_norm,O_score,pmi_mis,pmi_non,cooc_mis,cooc_non,freq_mis,freq_non,freq_total,origem,categoria_id_sugerida,categoria_nome_sugerida,similaridade,top3_cats
canalha,misogino,4.066122814949239,4.066122814949239,1.261725718096154,-2.804397096853085,69,1,105,70,183,semente+pmi,1,Descrédito,0.4235,1:0.424; 3:0.373; 10:0.282
comunista,misogino,3.990899393711652,3.990899393711652,1.5757068840949509,-2.4151925096167006,64,1,72,49,124,semente+pmi,11,Violência Política Digital,0.5453,11:0.545; 9:0.464; 1:0.299
ladrão,misogino,3.723836608462606,3.723836608462606,1.8248605712467727,-1.8989760372158333,49,1,43,30,74,semente+pmi,,,0.2488,4:0.249; 1:0.237; 3:0.223
feminista,misogino,3.415535248808089,3.415535248808089,0.5736002326359398,-2.8419350161721497,36,1,90,90,190,pmi_expandido,9,Neossexismo,0.5727,9:0.573; 11:0.526; 2:0.326
bandido,misogino,3.305534353593761,3.305534353593761,1.555654225543562,-1.7498801280501992,129,4,138,90,255,semente+pmi,4,Ameaças de Violência,0.3138,4:0.314; 1:0.306; 10:0.269
safar,misogino,3.297752213151706,3.297752213151706,1.6597900013054925,-1.637962211846214,32,1,41,12,57,semente+pmi,4,Ameaças de Violência,0.3494,4:0.349; 3:0.243; 5:0.241
congresso,misogino,3.297752213151706,3.297752213151706,1.1919817626231923,-2.1057704505285137,32,1,57,33,91,semente+pmi,11,Violência Política Digital,0.3685,11:0.368; 9:0.215; 5:0.069
pastor,misogino,3.2660035148371254,3.2660035148371254,1.3944264518094065,-1.871577063027719,31,1,52,19,72,semente+pmi,,,0.2626,11:0.263; 5:0.17; 9:0.143
esquerdista,misogino,3.1993121403384537,3.1993121403384537,0.8508110052204252,-2.3485011351180285,29,1,62,52,116,semente+pmi,11,Violência Política Digital,0.5001,11:0.5; 9:0.475; 1:0.41
absurdo,misogino,3.05089213522018,3.05089213522018,0.4520348852630574,-2.5988572499571228,25,1,63,84,149,pmi_expandido,1,Descrédito,0.3746,1:0.375; 6:0.323; 9:0.247
partido,misogino,3.0100701406999253,3.0100701406999253,0.9725079401979448,-2.03756220050198,24,1,35,45,85,pmi_expandido,11,Violência Política Digital,0.5366,11:0.537; 9:0.346; 5:0.202
