term,polarity,score_norm,freq_mis,freq_non,tfidf_mis,tfidf_non,score_mis,score_non,origem
bandida,misogino,6054330.557692501,8,0,6.0543305576925,0.0,6054330.557692501,0.0,tfidf_seed
crápula,misogino,5103739.725252866,10,0,5.103739725252866,0.0,5103739.725252866,0.0,tfidf_seed
pirralho,misogino,4704885.908404091,7,0,4.7048859084040915,0.0,4704885.908404091,0.0,tfidf_seed
fantoche,misogino,4062476.4596182443,9,0,4.062476459618244,0.0,4062476.4596182443,0.0,tfidf_seed
pepa,misogino,3931034.6045842622,6,0,3.931034604584262,0.0,3931034.6045842622,0.0,tfidf_seed
caducar,misogino,3794282.0687381853,5,0,3.7942820687381853,0.0,3794282.0687381853,0.0,tfidf_seed
gagá,misogino,3539979.80483596,6,0,3.5399798048359594,0.0,3539979.80483596,0.0,tfidf_seed
calhorda,misogino,3159315.3715769625,5,0,3.1593153715769624,0.0,3159315.3715769625,0.0,tfidf_seed
molusco,misogino,2752702.87608217,6,0,2.7527028760821697,0.0,2752702.87608217,0.0,tfidf_seed
investidor,misogino,2736882.9576457315,7,0,2.736882957645731,0.0,2736882.9576457315,0.0,tfidf_seed
abutr,misogino,2605311.9327880093,5,0,2.605311932788009,0.0,2605311.9327880093,0.0,tfidf_seed
cafajeste,misogino,2254727.4954312188,5,0,2.2547274954312186,0.0,2254727.4954312188,0.0,tfidf_seed
recorrer,misogino,2196819.7668788764,5,0,2.1968197668788765,0.0,2196819.7668788764,0.0,tfidf_seed
moralista,misogino,2161480.7435379177,5,0,2.1614807435379175,0.0,2161480.7435379177,0.0,tfidf_seed
pirralha,misogino,87.58214230056427,117,2,53.58868843744826,0.6118667510027407,87.58214230056427,0.011417833826985937,tfidf_seed
miliciano,misogino,27.063844995603215,25,1,13.673945350946672,0.5052466968135214,27.063844995603215,0.036949588936959835,tfidf_seed
globolixo,misogino,26.6483824263799,49,3,29.46028480425081,1.105517689010082,26.6483824263799,0.037525694637034625,tfidf_seed
carniça,misogino,19.931741026472412,9,1,6.299350747958468,0.3160451868128812,19.931741026472412,0.050171065128297845,tfidf_seed
devolva,misogino,11.363268864916924,6,1,4.232614059897246,0.37248108329955687,11.363268864916924,0.08800258894996217,tfidf_seed
facista,misogino,11.197789588189194,10,1,4.772356437982433,0.4261863649613893,11.197789588189194,0.08930311077905437,tfidf_seed
cadeiar,misogino,10.799318917176922,5,1,3.485740195063161,0.3227730769391388,10.799318917176922,0.09259811870034436,tfidf_seed
babão,misogino,10.511307420139307,5,1,3.321075810106068,0.3159516857470651,10.511307420139307,0.09513531418051553,tfidf_seed
presos,misogino,10.12048443364077,8,1,3.2404786972898254,0.32018907771193095,10.12048443364077,0.09880916025479838,tfidf_seed
jaula,misogino,9.639825135236013,6,1,3.398063675269002,0.3525016260951784,9.639825135236013,0.10373599674563969,tfidf_seed
feminazi,misogino,9.437258937801056,18,2,7.563852595956995,0.801487297164327,9.437258937801056,0.1059628252975091,tfidf_seed
rebelde,misogino,8.922214152914329,7,1,3.681320473953036,0.41260067160979647,8.922214152914329,0.11207950039927976,tfidf_seed
luladr,misogino,8.841434677809278,12,2,6.0834107663611166,0.6880559713000987,8.841434677809278,0.11310363291611766,tfidf_seed
propina,misogino,8.51819000208255,23,4,11.73494952563614,1.3776331596943892,8.51819000208255,0.11739573649542158,tfidf_seed
