text,label,categoria_id,categoria_nome,fonte,anotador,votos_misoginia_told
@user depois anda dizer que eu só te dou desprezo vaca💕,1,,,ToLD-BR,,2
"piri, pipiri, piriguete, prova q me ama andando no meu chevette",1,,,ToLD-BR,,2
@user só puta curte isso man kkk,1,,,ToLD-BR,,2
"@user @user @user @user ""essa gorda de merda da me 5 e ao rego 10 fdppppp ade se fuder zé""",1,,,ToLD-BR,,2
putinha dos coroas,1,,,ToLD-BR,,2
"Sou repórter Ramalhão JCT.Jornal de Cidade Tiradentes Greenwalt e americano honesto 
 SÓ BANDIDO OLHA CARA DESTE SÁFADOS DESTA PROSTITUTA DESTA VAGABUNDO DESTA VACA POLÍTICA E AUTORIDADES CORRUPTAS POEMA A VERDADE.G https://t.co/ul67N8G9kA",1,,,ToLD-BR,,3
"@user Não tenho bem certeza se o Bolsonaro acertou, 
Até que os ratos e baratas se manifestem...
Bate mais que eles AGUENTAM CAPITÃO!
O Daciolo teve mais votos que você!
Vá atrás de um pau para tirar leite, sua seringueira RETARDADA! https://t.co/HPIaIWSIHS",1,,,ToLD-BR,,2
@user @user putinha de 4 😂😂😂😂,1,,,ToLD-BR,,3
saudades apanhar a puta,1,,,ToLD-BR,,3
@user putinha aguenta três pronta pro serviço,1,,,ToLD-BR,,2
"putinha da bunda grande ,kkkkkkkkkkkk",1,,,ToLD-BR,,2
"Foi cada vagabunda que tirou a minha paz que hoje eu olho e vejo o quanto eu perdi tempo. Me coloquei no meu lugar e deixei elas gritarem, 茅 aquele ditado, um lobo em sil锚ncio imp玫e mais respeito do que um cachorro latindo!!",1,,,ToLD-BR,,2
@user tá soltinha em puta,1,,,ToLD-BR,,2
garota piranha do karalho 😡,1,,,ToLD-BR,,2
"@user tem piranha sim kkkkkkkkk,e talarica nem se fala kkkkkk",1,,,ToLD-BR,,2
"Eu prefiro me prevenir pra n acontecer de engravidar sabendo que n vou poder da uma vida boa aos meus filhos. Na hora de transar as vaca quer tudo no pelo, sentir um leitinho quente no útero, dps que passa aperto fica pedindo a liberação do aborto pq as bonita não pode prevenir",1,,,ToLD-BR,,3
"mas nem me diga q essa responsa eh minha
eu comi aquela vaca usando 2 camisinha",1,,,ToLD-BR,,2
"Não e por nada não mas mulher parece que quanto mais vc caga pra ela mais ela te quer, quando vc quer tudo com ela aí ela não quer? Sério da pra entender, depois faz textão no wpp falando que não arruma ninguém, que todo mundo pisa, eu em",1,,,ToLD-BR,,3
pode vimmmm o bande todo suas putinhas kkkkkkk,1,,,ToLD-BR,,2
@user crre que as feminista padrão tá puta,1,,,ToLD-BR,,2
putinha do capô de fusca kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1,,,ToLD-BR,,3
aborteira que faz textao,1,,,ToLD-BR,,2
@user ta querendo pegar o bofe do outro vadia,1,,,ToLD-BR,,2
"cê tá doido kkkkkk cadê o respeito cpt kkk mais puta é vc que não vem falar na nossa cara, piranhaaaaaaaaaaaaaa",1,,,ToLD-BR,,2
ca puta tenho nos olhos ainda,1,,,ToLD-BR,,2
"valorize sua namorada, pq todas mulher tem buceta, mas nem todas sabem lavar",1,,,ToLD-BR,,3
rt @user metendo na putinha que gosta de dar o cuzinho gostoso https://t.co/jxqmj6nnml,1,,,ToLD-BR,,2
@user @user @user @user a única vagabunda q eu tô vendo aqui é vc sua porca fascista filha de uma puta,1,,,ToLD-BR,,2
